project_id,sector,agency,state,original_cost,land_acquisition_issue,forest_clearance_issue,contractor_delay,burn_rate_6m,phys_burn_rate_6m,target_cost_overrun_pct,target_time_overrun_months
101975,Others,Unknown Agency,Andhra Pradesh,265.91,0,0,0,32.68899042942207,8.6572006118536,1.916459549272504,0
101976,Others,Unknown Agency,Andhra Pradesh,611.8,0,0,0,60.86441533252332,10.19380281094945,4.327291012939825,0
101977,Others,Unknown Agency,Andhra Pradesh,347.15,0,0,0,40.80794825852202,11.420833010160578,0.9690298454903679,1
101978,Others,Unknown Agency,Assam,1712.0,1,0,1,488.8118735240437,16.3390740567653,41.76472182865726,54
101979,Others,Unknown Agency,Bihar,1413.0,0,0,0,195.5568558290372,10.988155320386724,0.11544777873213885,3
101980,Others,Unknown Agency,Bihar,911.66,0,0,0,106.80377004670459,10.223178040631112,-0.542779685718302,-1
101981,Others,Unknown Agency,Bihar,1216.9,0,0,0,233.1325593317972,12.183272794207014,2.7265281983440444,1
101982,Others,Unknown Agency,Goa,255.69,0,0,0,32.517308885184974,8.55161931178202,-1.8127914711602746,-1
101983,Others,Unknown Agency,Gujarat,363.1,0,0,0,16.889735716859548,4.278847925725856,3.7701243916371787,0
101984,Railways,Unknown Agency,Gujarat,1305.0,1,1,0,311.69741968855647,8.39397900374098,52.86372458731165,38
101985,Others,Unknown Agency,Delhi,861.37,1,0,0,95.31156208051686,10.928105825907295,26.30991196828357,19
101986,Others,Unknown Agency,Karnataka,320.47,0,0,0,26.39898034599696,12.015766160553973,-1.4167916884502945,0
101987,Others,Unknown Agency,Karnataka,322.45,0,0,0,42.83017169411596,11.377553439715342,0.18025495361666977,3
101988,Others,Unknown Agency,Kerala,484.57,0,1,1,28.565323374366816,4.952078339060734,28.535637671902784,36
101989,Others,Unknown Agency,Ladakh,480.0,0,0,0,38.58475015981698,11.531448203670376,-0.9530153939542285,1
101990,Others,Unknown Agency,"Karnataka, Manipur",499.0,0,0,1,47.698196935773524,11.04033908286037,12.395384515495078,22
101991,Others,Unknown Agency,"Maharashtra, Telangana, Uttar Pradesh",500.48,0,0,1,89.19534496550233,16.890666623664295,31.363625701939274,11
101992,Others,Unknown Agency,Rajasthan,1507.0,0,0,0,194.57446405533778,13.037130434441202,3.2137160027058886,2
101993,Others,Unknown Agency,Rajasthan,480.0,1,0,0,83.35983585118532,15.943037039660432,25.05910200705319,30
101994,Water Resources,Unknown Agency,Rajasthan,887.0,0,0,0,104.19741170223892,16.953215463211457,1.5645545062269557,1
101995,Others,Unknown Agency,Sikkim,323.26,0,0,0,49.30454215785704,14.987510939321083,2.511697921687695,3
101996,Others,Unknown Agency,Tamil Nadu,1207.0,0,0,0,144.01993076914056,6.535117509842305,3.9643307069708404,3
101997,Others,Unknown Agency,Uttar Pradesh,2869.65,1,0,1,341.068911468732,1.538331315273112,49.06105564830689,41
101998,Others,Unknown Agency,Uttar Pradesh,579.0,0,0,0,94.00039309687705,12.206592562991855,2.06901481072512,0
101999,Others,Unknown Agency,West Bengal,1549.0,0,0,1,158.2625495314421,11.12228629534135,15.954312744491046,14
102000,Coal,Unknown Agency,West Bengal,328.3,0,0,0,24.40408305577307,2.930318408528777,-1.6697350044863275,0
102001,Coal,Unknown Agency,Assam,159.77,0,0,0,7.495914224306603,12.106100921851933,-1.4470822291536392,1
102002,Coal,Unknown Agency,Assam,289.46,0,0,0,12.96179949147421,8.714825441483725,1.9651740080597428,0
102003,Coal,Unknown Agency,Chhattisgarh,2310.12,0,0,0,233.47696277289174,8.981875533175753,-0.4508991964063407,1
102004,Coal,Unknown Agency,Chhattisgarh,2309.8,0,0,0,395.08418016925975,14.899883359748856,-0.6420091896593294,3
102005,Coal,Unknown Agency,Chhattisgarh,5241.4,0,0,0,679.8188321369562,11.481866295756447,0.14255212435166253,-1
102006,Coal,Unknown Agency,Chhattisgarh,11816.4,0,0,1,1703.1215562213674,13.975498026552785,25.049247780162855,16
102007,Coal,Unknown Agency,Chhattisgarh,335.97,0,0,1,55.95108126173244,17.16784409431532,15.484395537167622,15
102008,Coal,Unknown Agency,Chhattisgarh,316.11,0,0,1,40.55160550897398,4.8900006586654285,26.70103839700307,11
102009,Coal,Unknown Agency,Chhattisgarh,459.49,0,0,0,100.09556234214378,14.52768041661383,4.022182602572474,2
102010,Coal,Unknown Agency,Chhattisgarh,410.26,0,0,1,53.465444440906246,9.212674243386093,19.904756140988894,11
102011,Coal,Unknown Agency,Chhattisgarh,329.21,0,0,0,27.424960278370207,12.135564490579057,-0.8898300667476611,-1
102012,Others,Unknown Agency,Chhattisgarh,1725.04,0,0,1,191.22049016051392,13.6344073059104,15.59472448518899,19
102013,Coal,Unknown Agency,Chhattisgarh,4516.88,0,0,1,446.1935786800377,7.729419818792124,19.934637311870922,16
102014,Coal,Unknown Agency,Chhattisgarh,382.61,0,0,1,51.687543682731985,12.072176865129109,21.54554799634516,22
102015,Coal,Unknown Agency,Chhattisgarh,2415.91,0,0,0,44.45318222668675,3.5863477354075286,2.7116387716461885,1
102016,Coal,Unknown Agency,Chhattisgarh,1859.19,0,0,1,234.70115051180437,12.567226713837556,27.09706593266518,18
102017,Coal,Unknown Agency,Jharkhand,859.41,0,0,1,169.74275426456995,11.720758422134217,28.92135324764154,17
102018,Coal,Unknown Agency,Jharkhand,799.34,0,0,0,38.53776636517614,10.666414731298346,4.2036801896071,-1
102019,Coal,Unknown Agency,Jharkhand,908.47,0,1,0,128.3855843508477,10.242344845912733,24.54238969186254,22
102020,Coal,Unknown Agency,Jharkhand,2660.0,0,0,0,260.24631399549503,8.331004680577351,1.5020579217957684,0
102021,Coal,Unknown Agency,Jharkhand,973.5,0,1,0,143.0140990600131,13.587978208257844,17.566804071669296,16
102022,Coal,Unknown Agency,Jharkhand,861.06,0,1,1,164.0768520193643,11.106080326073595,28.204512695728813,20
102023,Coal,Unknown Agency,Jharkhand,2242.9,0,0,0,265.542640843237,14.149223652201812,3.2272140245624286,-1
102024,Coal,Unknown Agency,Jharkhand,7254.37,0,0,0,346.0783830973369,9.842344156382822,-1.8914271009478598,2
102025,Coal,Unknown Agency,Jharkhand,778.8,0,0,0,112.97437241892521,10.845965449523732,2.044255751626486,1
102026,Coal,Unknown Agency,Jharkhand,1020.42,0,0,1,201.2301467457138,13.80328537483377,21.21687365515665,13
102027,Coal,Unknown Agency,Jharkhand,713.35,0,0,0,64.588465848749,7.665814440559156,-0.3746352064401035,1
102028,Coal,Unknown Agency,Jharkhand,2898.28,0,0,1,203.4750911421631,4.851098445621661,28.811790623190927,18
102029,Coal,Unknown Agency,Jharkhand,5136.15,1,0,1,986.1603602976897,10.426880576740068,54.20497425903402,34
102030,Coal,Unknown Agency,Jharkhand,510.85,0,0,0,62.040695115517366,9.667502582952185,0.09709297802727335,1
102031,Coal,Unknown Agency,Jharkhand,513.99,0,0,0,11.746709985815414,11.432432175453343,0.5824217974670884,1
102032,Coal,Unknown Agency,Jharkhand,764.57,0,1,0,98.12803929533146,10.759908382324102,18.846987122031642,8
102033,Coal,Unknown Agency,Jharkhand,1230.27,1,0,0,260.6117679139934,14.170153329965245,39.742755103961656,20
102034,Coal,Unknown Agency,Jharkhand,334.27,0,0,1,53.49050651574771,10.184864209054687,17.172304378799595,14
